,Time,BUT,DMA
375,3.7600000000000005e-10,1.8815200396753343e-15,1.1463935808082277e-15
376,3.7700000000000004e-10,1.927977417114559e-15,1.1487969377628376e-15
377,3.7800000000000004e-10,1.873184388750796e-15,1.1521492276225359e-15
378,3.7900000000000004e-10,1.80646254948814e-15,1.1434114486418053e-15
379,3.8000000000000003e-10,1.7549123489044824e-15,1.1176678604534728e-15
380,3.8100000000000003e-10,1.7563293643482757e-15,1.175387526048764e-15
381,3.82e-10,1.7768960469296804e-15,1.141901188015431e-15
382,3.83e-10,1.8158333812832917e-15,1.1099456680829787e-15
383,3.84e-10,1.929251912972993e-15,1.0838243493655487e-15
384,3.85e-10,1.853783880963535e-15,1.0836737546969668e-15
385,3.86e-10,1.8699205368736962e-15,1.094243922331253e-15
386,3.87e-10,1.9270101939351684e-15,1.1323788823122029e-15
387,3.88e-10,1.915269258327118e-15,1.1160955515261936e-15
388,3.8900000000000005e-10,1.8672732248192687e-15,1.1629832346033308e-15
389,3.9000000000000005e-10,1.9158401593996504e-15,1.1119880375446303e-15
390,3.9100000000000005e-10,1.9175015945321402e-15,1.1492876848967734e-15
391,3.9200000000000004e-10,1.8493048125445503e-15,1.1326582068184582e-15
392,3.9300000000000004e-10,1.9428099901591276e-15,1.1521559368303146e-15
393,3.9400000000000004e-10,1.810465184640778e-15,1.1225540020917918e-15
394,3.9500000000000003e-10,1.9216332222986486e-15,1.1203581682479587e-15
395,3.9600000000000003e-10,1.9183232126653786e-15,1.1042000384380732e-15
396,3.97e-10,2.0280415194280232e-15,1.1281434254518858e-15
397,3.98e-10,1.980730771623698e-15,1.1366899460552065e-15
398,3.99e-10,1.8325819224663885e-15,1.1116428539072611e-15
399,4e-10,1.856250974605836e-15,1.1649573418886277e-15
400,4.01e-10,1.933283587826797e-15,1.1944835887489827e-15
401,4.02e-10,1.930593056314335e-15,1.1696472732736758e-15
402,4.0300000000000006e-10,1.8701973526271715e-15,1.1694450609027133e-15
403,4.0400000000000005e-10,1.9078634184706732e-15,1.1734317881000747e-15
404,4.0500000000000005e-10,2.0424373515791384e-15,1.1904829954810675e-15
405,4.0600000000000005e-10,2.055507133147928e-15,1.195007106734877e-15
406,4.0700000000000004e-10,2.021454584554125e-15,1.177913153922651e-15
407,4.0800000000000004e-10,1.9205473846530547e-15,1.1868890764441148e-15
408,4.0900000000000004e-10,1.8601709902408083e-15,1.1812869342356654e-15
409,4.1000000000000003e-10,1.850702768632418e-15,1.1719006236127724e-15
410,4.1100000000000003e-10,1.8833768016391382e-15,1.156197633695128e-15
411,4.12e-10,1.809343316994253e-15,1.1636373607210916e-15
412,4.13e-10,1.8674265260982584e-15,1.1804050832959584e-15
413,4.14e-10,1.9022669921232272e-15,1.1431561385635497e-15
414,4.15e-10,1.8922992877181486e-15,1.188781188047284e-15
415,4.16e-10,1.967273439819166e-15,1.1944740390082663e-15
416,4.17e-10,2.0630689400909856e-15,1.2189721058448223e-15
417,4.1800000000000006e-10,1.8350776873185674e-15,1.1691458786420113e-15
418,4.1900000000000005e-10,1.8731337515042223e-15,1.176289167570479e-15
419,4.2000000000000005e-10,1.8955403471325284e-15,1.1836576900695083e-15
420,4.2100000000000005e-10,1.934611013870514e-15,1.1804882585338222e-15
421,4.2200000000000004e-10,1.93307834607287e-15,1.185180823236591e-15
422,4.2300000000000004e-10,2.017147545422478e-15,1.1769212408264065e-15
423,4.2400000000000004e-10,1.9691232875831697e-15,1.1538772829004085e-15
424,4.2500000000000003e-10,1.9256427199439323e-15,1.1405216029209158e-15
425,4.2600000000000003e-10,1.9220176972515755e-15,1.1970429562655077e-15
426,4.27e-10,1.9347406362279837e-15,1.1638306754503446e-15
427,4.28e-10,1.9323943481240744e-15,1.1889511300125043e-15
428,4.29e-10,1.913054736894765e-15,1.1958343995379706e-15
429,4.3e-10,1.902156029727821e-15,1.1870910763411343e-15
430,4.31e-10,1.906765739959623e-15,1.1850784731094185e-15
431,4.3200000000000006e-10,1.860023164564958e-15,1.1755939901375763e-15
432,4.3300000000000006e-10,1.8922744756671454e-15,1.17891967186203e-15
433,4.3400000000000005e-10,2.048246265866641e-15,1.189842351394361e-15
434,4.3500000000000005e-10,1.966633603560016e-15,1.2202658671597193e-15
435,4.3600000000000005e-10,1.8706035756870468e-15,1.1707858956571002e-15
436,4.3700000000000004e-10,1.916008426943382e-15,1.2006362362598716e-15
437,4.3800000000000004e-10,1.934351933194031e-15,1.201105507116043e-15
438,4.3900000000000003e-10,1.991593403421668e-15,1.2344139335477443e-15
439,4.4000000000000003e-10,2.0176454477114987e-15,1.240774595345933e-15
440,4.4100000000000003e-10,1.975214523921884e-15,1.2352967901116159e-15
441,4.42e-10,2.1123779658178162e-15,1.222211692215052e-15
442,4.43e-10,1.994256386163388e-15,1.1845235847547902e-15
443,4.44e-10,2.02867797444057e-15,1.2453602050845806e-15
444,4.45e-10,1.984861346465675e-15,1.2284356900832093e-15
445,4.46e-10,1.947727334863587e-15,1.2416888853837407e-15
446,4.4700000000000006e-10,2.110923874320924e-15,1.241916494460441e-15
447,4.4800000000000006e-10,1.9108541278973464e-15,1.2905451523896679e-15
448,4.4900000000000005e-10,2.043590023552152e-15,1.2879439179642735e-15
449,4.5000000000000005e-10,1.945322142809244e-15,1.2714488714455198e-15
450,4.5100000000000005e-10,1.8472766391676422e-15,1.2665883161053362e-15
451,4.5200000000000004e-10,1.8466478972685475e-15,1.2877758993106747e-15
452,4.5300000000000004e-10,1.8047325855363974e-15,1.2805306596482164e-15
453,4.5400000000000003e-10,1.9013682618618485e-15,1.2578783090120799e-15
454,4.5500000000000003e-10,1.8848471556251647e-15,1.309329194454667e-15
455,4.5600000000000003e-10,1.960484481246254e-15,1.3082709314197371e-15
