,Time,BUT,OCM
281,2.82e-10,1.588532582616671e-16,7.633380578315184e-17
282,2.83e-10,1.5061157096756946e-16,7.83035196873636e-17
283,2.84e-10,1.536796263229157e-16,7.844940310380084e-17
284,2.85e-10,1.5610958996174494e-16,8.118724629928274e-17
285,2.8600000000000005e-10,1.5831409772250616e-16,7.893428070001457e-17
286,2.8700000000000004e-10,1.4939405254874838e-16,7.95618836703064e-17
287,2.8800000000000004e-10,1.6338365662072911e-16,8.121469608130143e-17
288,2.8900000000000004e-10,1.5623902322349999e-16,7.87299416582691e-17
289,2.9000000000000003e-10,1.5556136931368703e-16,7.587902096514212e-17
290,2.9100000000000003e-10,1.5275703363473584e-16,7.859396217617532e-17
291,2.92e-10,1.5577374289731278e-16,8.213841086171363e-17
292,2.93e-10,1.5928502461104597e-16,8.180784392024053e-17
293,2.94e-10,1.6223072449052944e-16,7.78743292974434e-17
294,2.95e-10,1.6026022346817084e-16,7.81066004726372e-17
295,2.96e-10,1.6202199217907307e-16,8.022252974933468e-17
296,2.97e-10,1.559723402626597e-16,7.846026865747194e-17
297,2.98e-10,1.6341323861459502e-16,7.87657666641163e-17
298,2.99e-10,1.5957843568416191e-16,7.702240026452549e-17
299,3e-10,1.5724201333159417e-16,7.882266556966873e-17
300,3.0100000000000005e-10,1.4736310659667126e-16,7.941808937322673e-17
301,3.0200000000000004e-10,1.5981244739960545e-16,7.50747855208525e-17
302,3.0300000000000004e-10,1.496205508432709e-16,7.838193246138208e-17
303,3.0400000000000004e-10,1.590354055778274e-16,7.675990125128601e-17
304,3.0500000000000003e-10,1.6075833847660768e-16,8.075721374863385e-17
305,3.0600000000000003e-10,1.4619169309652945e-16,8.048301574970684e-17
306,3.07e-10,1.591729297209868e-16,7.883017249849607e-17
307,3.08e-10,1.588307117969357e-16,7.505971469224755e-17
308,3.09e-10,1.5934559696307363e-16,7.922957930121235e-17
309,3.1e-10,1.6343797389982923e-16,7.762099096335978e-17
310,3.11e-10,1.6709535199983827e-16,8.236528828258132e-17
311,3.12e-10,1.5372714389679482e-16,7.978245495998986e-17
312,3.13e-10,1.6042664391562952e-16,7.951611331239335e-17
313,3.14e-10,1.5414267006117655e-16,7.765469580016189e-17
314,3.1500000000000005e-10,1.6081536109251683e-16,8.032592141022491e-17
315,3.1600000000000005e-10,1.587145132253152e-16,7.988184105330848e-17
316,3.1700000000000004e-10,1.488180461012083e-16,8.100770291498599e-17
317,3.1800000000000004e-10,1.5569379185457033e-16,8.075004180447569e-17
318,3.1900000000000004e-10,1.5723764391833793e-16,8.1383768210957e-17
319,3.2000000000000003e-10,1.49123924796298e-16,7.47961228199249e-17
320,3.2100000000000003e-10,1.5361231643074768e-16,7.507770964390982e-17
321,3.22e-10,1.520916366436586e-16,7.935354330076061e-17
322,3.23e-10,1.5810045505482345e-16,7.909091795557201e-17
323,3.24e-10,1.551612658291215e-16,7.977784561585727e-17
324,3.25e-10,1.6009711808584272e-16,8.011201317780961e-17
325,3.26e-10,1.566574934100637e-16,7.793797274111241e-17
326,3.27e-10,1.6245346685818496e-16,7.861411567795519e-17
327,3.28e-10,1.6937495106834873e-16,8.214744045884453e-17
328,3.29e-10,1.6450479640271858e-16,8.065281496838363e-17
329,3.3000000000000005e-10,1.5302131777075472e-16,7.933357250898896e-17
330,3.3100000000000005e-10,1.463622354389932e-16,8.046658756512953e-17
331,3.3200000000000004e-10,1.544980571145092e-16,7.985302529470749e-17
332,3.3300000000000004e-10,1.546942935294352e-16,7.788584293110458e-17
333,3.3400000000000004e-10,1.5724184521572994e-16,8.113972098024755e-17
334,3.3500000000000003e-10,1.6718699528596786e-16,7.986802197501934e-17
335,3.3600000000000003e-10,1.6524826092857674e-16,8.03520341058251e-17
336,3.37e-10,1.5407566430647074e-16,8.146927173566541e-17
337,3.38e-10,1.591716125156436e-16,7.851377505089101e-17
338,3.39e-10,1.6415877682191295e-16,8.370803952694705e-17
339,3.4e-10,1.600749070090822e-16,8.179888998277412e-17
340,3.41e-10,1.6699329614179888e-16,7.878654160507082e-17
341,3.42e-10,1.539715610572816e-16,7.62081274174784e-17
342,3.43e-10,1.5671364099343768e-16,8.230753743092132e-17
343,3.44e-10,1.735315903289672e-16,8.120351763277307e-17
344,3.4500000000000005e-10,1.6249936453446194e-16,8.124214896403376e-17
345,3.4600000000000005e-10,1.5546160711292644e-16,8.00531367543874e-17
346,3.4700000000000004e-10,1.6202257505387091e-16,7.786101895012542e-17
347,3.4800000000000004e-10,1.5961819512522528e-16,8.05513779477453e-17
348,3.4900000000000004e-10,1.6398033820111908e-16,8.091870569844724e-17
349,3.5000000000000003e-10,1.5359538730897771e-16,8.271027450476063e-17
350,3.5100000000000003e-10,1.6524286953858007e-16,8.180303271141226e-17
351,3.52e-10,1.6061338638295703e-16,7.899934075519619e-17
352,3.53e-10,1.7287693456863843e-16,7.918698577613862e-17
353,3.54e-10,1.5642464678024258e-16,7.75235098933253e-17
354,3.55e-10,1.6044954018808294e-16,7.872077675606591e-17
355,3.56e-10,1.5376550199025842e-16,7.897144597449323e-17
356,3.57e-10,1.5986541545768808e-16,8.010696213692747e-17
357,3.58e-10,1.5288118611630384e-16,7.859701712981492e-17
358,3.5900000000000005e-10,1.584843512654371e-16,7.635564666363374e-17
359,3.6000000000000005e-10,1.5182208922684649e-16,7.962570286046668e-17
360,3.6100000000000005e-10,1.5037200047703013e-16,8.071098315344911e-17
361,3.6200000000000004e-10,1.7423363577626345e-16,8.323211774573164e-17
362,3.6300000000000004e-10,1.6240768224693572e-16,8.035847196145003e-17
