,Time,DMA
482,4.83e-10,1.7839916871131285e-15
483,4.840000000000001e-10,1.7436469693650137e-15
484,4.850000000000001e-10,1.7055836485557717e-15
485,4.860000000000001e-10,1.7545784630154836e-15
486,4.870000000000001e-10,1.7680820008567595e-15
487,4.880000000000001e-10,1.7669741563921685e-15
488,4.890000000000001e-10,1.7620050005678261e-15
489,4.900000000000001e-10,1.7672225910068102e-15
490,4.910000000000001e-10,1.7529706749884115e-15
491,4.920000000000001e-10,1.803362277454414e-15
492,4.930000000000001e-10,1.7614882326911918e-15
493,4.940000000000001e-10,1.7431744459089357e-15
494,4.95e-10,1.7393129847368097e-15
495,4.96e-10,1.6910177832369898e-15
496,4.97e-10,1.7031038737570464e-15
497,4.98e-10,1.7204013306996564e-15
498,4.99e-10,1.7230800803953757e-15
499,5e-10,1.7411458710266929e-15
500,5.01e-10,1.7507076718308156e-15
501,5.02e-10,1.7794960632628318e-15
502,5.03e-10,1.7668522594077233e-15
503,5.04e-10,1.7511012864394368e-15
504,5.05e-10,1.7419623017088123e-15
505,5.06e-10,1.7202521140191107e-15
506,5.07e-10,1.7191600751206323e-15
507,5.08e-10,1.7117699183440727e-15
508,5.09e-10,1.8265964725808215e-15
509,5.1e-10,1.777898192884917e-15
510,5.11e-10,1.7287964134762373e-15
511,5.12e-10,1.763013157452851e-15
512,5.130000000000001e-10,1.688422380319234e-15
513,5.140000000000001e-10,1.6997014803459805e-15
514,5.150000000000001e-10,1.7079141371582964e-15
515,5.160000000000001e-10,1.7262414496130682e-15
516,5.170000000000001e-10,1.7621782778380751e-15
517,5.180000000000001e-10,1.7600496218684819e-15
518,5.190000000000001e-10,1.7834778369972656e-15
519,5.200000000000001e-10,1.836808246454614e-15
520,5.210000000000001e-10,1.835990218112111e-15
521,5.220000000000001e-10,1.7851224172337753e-15
522,5.230000000000001e-10,1.7725751724301734e-15
523,5.24e-10,1.716019711370512e-15
524,5.25e-10,1.7467759803890215e-15
525,5.26e-10,1.761814529615033e-15
526,5.27e-10,1.7495185447050616e-15
527,5.28e-10,1.767394238084866e-15
528,5.29e-10,1.7580687847278805e-15
529,5.3e-10,1.7232562181815186e-15
530,5.31e-10,1.756317662263758e-15
531,5.32e-10,1.8067361162056794e-15
532,5.33e-10,1.7726027610501071e-15
533,5.34e-10,1.7687277696297766e-15
534,5.35e-10,1.7029190475712932e-15
535,5.36e-10,1.779317258200587e-15
536,5.37e-10,1.7874970913605935e-15
537,5.38e-10,1.7966820578481774e-15
538,5.39e-10,1.7787888838884067e-15
539,5.4e-10,1.7614091742564531e-15
540,5.41e-10,1.7534245640097685e-15
541,5.420000000000001e-10,1.7420706081196802e-15
542,5.430000000000001e-10,1.709925958195629e-15
543,5.440000000000001e-10,1.74237824078004e-15
544,5.450000000000001e-10,1.723184684873694e-15
545,5.460000000000001e-10,1.7897274077555283e-15
546,5.470000000000001e-10,1.7566834927218249e-15
547,5.480000000000001e-10,1.7833153266823737e-15
548,5.490000000000001e-10,1.806365525039619e-15
549,5.500000000000001e-10,1.7592333107765095e-15
550,5.510000000000001e-10,1.780065145435249e-15
551,5.520000000000001e-10,1.805569616962504e-15
552,5.530000000000001e-10,1.7421076297587747e-15
553,5.54e-10,1.756521528628525e-15
554,5.55e-10,1.7803850411494763e-15
555,5.56e-10,1.7317939529315051e-15
556,5.57e-10,1.7106336935408376e-15
557,5.58e-10,1.7442785774036042e-15
558,5.59e-10,1.7201160996036494e-15
559,5.6e-10,1.7268346272061056e-15
560,5.61e-10,1.7622311633425244e-15
561,5.62e-10,1.7172433864900421e-15
562,5.63e-10,1.702620829466278e-15
563,5.64e-10,1.6845551252491731e-15
564,5.65e-10,1.7508522623721631e-15
565,5.66e-10,1.767819559335175e-15
566,5.67e-10,1.7869257841094892e-15
567,5.68e-10,1.786645014871186e-15
568,5.69e-10,1.8183338513525286e-15
569,5.7e-10,1.7773566627531076e-15
570,5.71e-10,1.784865589073298e-15
571,5.720000000000001e-10,1.793902914558071e-15
572,5.730000000000001e-10,1.7345474222674393e-15
573,5.740000000000001e-10,1.7571218895422434e-15
574,5.750000000000001e-10,1.7538523087960624e-15
575,5.760000000000001e-10,1.7965223458695427e-15
576,5.770000000000001e-10,1.721230708115631e-15
577,5.780000000000001e-10,1.7418984182387858e-15
578,5.790000000000001e-10,1.7883098147527825e-15
579,5.800000000000001e-10,1.7647463250065036e-15
580,5.810000000000001e-10,1.7624546568840614e-15
581,5.820000000000001e-10,1.78447334878872e-15
582,5.830000000000001e-10,1.7954720109358407e-15
583,5.84e-10,1.8188320396235757e-15
584,5.85e-10,1.8187728669220005e-15
585,5.86e-10,1.835358345100524e-15
586,5.87e-10,1.7702970726013163e-15
587,5.88e-10,1.771193171979336e-15
588,5.89e-10,1.814547067834139e-15
589,5.9e-10,1.803689402344761e-15
590,5.91e-10,1.799770527750343e-15
591,5.92e-10,1.7928428036232816e-15
592,5.93e-10,1.7471091223600684e-15
